Acar000001.1,211,489,210,489,PF12780.10,AAA_8,Domain,2,259,259,227.8,1.4e-67,1,CL0023
Acar000001.1,504,663,502,666,PF12777.10,MT,Domain,3,168,344,59.7,2.7e-16,1,No_clan
Acar000001.1,665,899,662,903,PF12777.10,MT,Domain,101,340,344,87.9,6.8e-25,1,No_clan
Acar000001.1,928,1147,927,1147,PF12781.10,AAA_9,Domain,2,222,222,251.6,4.6e-75,1,CL0023
Acar000499.1,40,228,39,229,PF00804.28,Syntaxin,Domain,2,198,199,58.9,5.6e-16,1,CL0445
Acar000090.1,189,259,188,259,PF00157.20,Pou,Domain,2,72,72,122.4,5.9e-36,1,CL0123
Acar000090.1,282,338,282,338,PF00046.32,Homeodomain,Domain,1,57,57,64.4,7e-18,1,CL0123
Acar000211.1,2,162,2,162,PF09767.12,DUF2053,Family,1,160,160,214.6,9e-64,1,No_clan
Acar000136.1,216,242,189,242,PF00400.35,WD40,Repeat,12,38,38,19.4,0.0016,1,CL0186
Acar000136.1,306,342,303,342,PF00400.35,WD40,Repeat,5,38,38,28.5,2.1e-06,1,CL0186
Acar000798.1,67,152,67,153,PF00250.21,Forkhead,Domain,1,87,88,131.9,7.7e-39,1,CL0123
Acar000337.1,49,133,49,135,PF00250.21,Forkhead,Domain,1,86,88,134.1,1.5e-39,1,CL0123
Acar000736.1,51,120,50,123,PF02207.23,zf-UBR,Family,2,67,70,47.9,1.2e-12,1,No_clan
Acar000576.1,39,274,36,275,PF10275.12,Peptidase_C65,Family,4,248,249,270.2,1.6e-80,1,CL0125
Acar000164.1,6,208,5,210,PF05700.14,BCAS2,Family,2,204,206,225.6,5.5e-67,1,No_clan
Acar000105.1,58,229,58,229,PF00554.25,RHD_DNA_bind,Domain,1,169,169,219.0,3.9e-65,1,CL0073
Acar000105.1,237,335,236,336,PF16179.8,RHD_dimer,Domain,2,102,103,97.3,4.9e-28,1,CL0159
Acar000693.1,553,865,552,866,PF00632.28,HECT,Domain,2,305,306,229.4,7.5e-68,1,CL0552
Acar000853.1,20,132,12,164,PF03372.26,Exo_endo_phos,Domain,18,119,237,28.5,1.1e-06,1,CL0530
Acar000095.1,35,175,35,185,PF08534.13,Redoxin,Domain,1,137,147,106.7,8.9e-31,1,CL0172
Acar000780.1,102,246,101,246,PF08389.15,Xpo1,Repeat,2,149,149,74.7,8.1e-21,1,CL0020
Acar000504.1,63,95,59,95,PF00400.35,WD40,Repeat,7,38,38,18.3,0.0034,1,CL0186
Acar000504.1,119,153,115,153,PF00400.35,WD40,Repeat,5,38,38,28.0,3e-06,1,CL0186
Acar000504.1,158,191,157,193,PF00400.35,WD40,Repeat,2,34,38,15.4,0.029,1,CL0186
Acar000600.1,18,92,17,92,PF00935.22,Ribosomal_L44,Family,2,76,76,106.3,9e-31,1,CL0167
Acar000308.1,31,112,31,119,PF10152.12,CCDC53,Coiled-coil,1,81,153,69.8,3.7e-19,1,No_clan
Acar000308.1,116,151,88,151,PF10152.12,CCDC53,Coiled-coil,116,153,153,39.2,9.9e-10,1,No_clan
Acar000597.1,261,391,261,392,PF00004.32,AAA,Domain,1,131,132,114.6,4.4e-33,1,CL0023
Acar000597.1,417,457,415,459,PF17862.4,AAA_lid_3,Domain,3,43,45,31.5,1.2e-07,1,CL0671
Acar000597.1,519,649,519,649,PF00004.32,AAA,Domain,1,132,132,145.8,1e-42,1,CL0023
Acar000597.1,671,716,671,717,PF17862.4,AAA_lid_3,Domain,1,44,45,55.4,4.2e-15,1,CL0671
Acar000874.1,113,155,113,157,PF00379.26,Chitin_bind_4,Family,1,48,53,31.6,1.8e-07,1,No_clan
Acar000544.1,63,105,63,109,PF00379.26,Chitin_bind_4,Family,1,48,53,23.4,6.7e-05,1,No_clan
Acar000800.1,55,102,55,102,PF00379.26,Chitin_bind_4,Family,1,53,53,30.8,3.3e-07,1,No_clan
Acar000008.1,42,90,42,90,PF00379.26,Chitin_bind_4,Family,1,53,53,25.0,2.2e-05,1,No_clan
Acar000126.1,45,145,44,145,PF03165.19,MH1,Domain,2,103,103,141.2,1.2e-41,1,CL0263
Acar000126.1,227,398,226,398,PF03166.17,MH2,Family,2,174,174,238.6,5.2e-71,1,CL0357
Acar000135.1,10,37,9,37,PF13181.9,TPR_8,Repeat,7,34,34,13.1,0.095,1,CL0020
