Pbia000012.1,49,108,38,109,PF13927.9,Ig_3,Domain,13,78,79,37.5,2.9e-09,1,CL0011
Pbia000012.1,135,228,128,228,PF07679.19,I-set,Domain,8,90,90,43.3,3.2e-11,1,CL0011
Pbia000012.1,313,599,308,600,PF07714.20,PK_Tyr_Ser-Thr,Domain,6,258,259,191.0,2.4e-56,1,CL0016
Pbia000013.1,49,358,48,358,PF01916.20,DS,Domain,2,288,288,429.5,6e-129,1,CL0085
Pbia000015.1,302,553,302,553,PF00069.28,Pkinase,Domain,1,264,264,252.0,6.8e-75,1,CL0016
Pbia000018.1,37,360,37,372,PF04928.20,PAP_central,Domain,1,230,250,348.7,1.3e-104,1,No_clan
Pbia000018.1,110,190,96,191,PF01909.26,NTP_transf_2,Family,14,93,94,41.4,1.5e-10,1,CL0260
Pbia000018.1,360,486,345,488,PF04926.18,PAP_RNA-bind,Domain,38,185,187,35.5,8.1e-09,1,No_clan
Pbia000019.1,23,96,23,97,PF07776.18,zf-AD,Domain,1,74,77,28.5,1.5e-06,1,CL0361
Pbia000020.1,710,731,709,731,PF00096.29,zf-C2H2,Domain,2,23,23,18.2,0.0026,1,CL0361
Pbia000021.1,228,272,227,273,PF13802.9,Gal_mutarotas_2,Domain,2,42,68,41.7,1.1e-10,1,CL0103
Pbia000021.1,272,603,267,605,PF01055.29,Glyco_hydro_31,Family,26,346,444,321.9,8.4e-96,1,CL0058
Pbia000021.1,671,727,669,736,PF17137.7,DUF5110,Family,3,62,71,33.3,4.7e-08,1,No_clan
Pbia000022.1,96,203,96,203,PF01661.24,Macro,Domain,1,118,118,132.3,8.7e-39,1,CL0223
Pbia000025.1,49,104,47,104,PF13855.9,LRR_8,Repeat,4,61,61,33.4,3e-08,1,CL0022
Pbia000025.1,146,196,138,196,PF13855.9,LRR_8,Repeat,9,61,61,30.0,3.6e-07,1,CL0022
Pbia000026.1,171,346,168,361,PF00002.27,7tm_2,Family,7,188,246,46.9,2.3e-12,1,CL0192
Pbia000028.1,29,159,29,159,PF00241.23,Cofilin_ADF,Domain,1,125,125,117.5,3.2e-34,1,CL0092
Pbia000029.1,1342,1523,1328,1524,PF10441.12,Urb2,Family,18,205,206,44.3,2.1e-11,1,No_clan
Pbia000031.1,49,210,47,211,PF01299.20,Lamp,Family,4,147,148,55.6,5.7e-15,1,CL0721
Pbia000032.1,169,279,169,279,PF16878.8,SIX1_SD,Domain,1,115,115,158.0,1.2e-46,1,No_clan
Pbia000032.1,290,340,289,341,PF00046.32,Homeodomain,Domain,6,56,57,53.1,2.2e-14,1,CL0123
Pbia000033.1,109,236,109,236,PF17675.4,APG6_N,Coiled-coil,1,132,132,98.4,4.8e-28,1,No_clan
Pbia000033.1,239,417,239,417,PF04111.15,APG6,Domain,1,179,179,239.5,2.4e-71,1,No_clan
Pbia000035.1,94,192,89,199,PF10324.12,7TM_GPCR_Srw,Family,6,107,319,42.1,6.9e-11,1,CL0192
Pbia000037.1,3,72,1,72,PF17833.4,UPF0113_N,Domain,13,83,83,100.5,5.8e-29,1,CL0668
Pbia000037.1,85,164,85,164,PF03657.16,UPF0113,Domain,1,73,73,74.3,7.6e-21,1,CL0178
Pbia000038.1,204,286,203,303,PF00648.24,Peptidase_C2,Family,117,202,299,100.8,7.8e-29,1,CL0125
Pbia000038.1,248,347,242,351,PF01067.25,Calpain_III,Domain,12,109,138,50.6,2.7e-13,1,CL0202
Pbia000039.1,43,135,43,135,PF00648.24,Peptidase_C2,Family,1,94,299,111.9,3.1e-32,1,CL0125
Pbia000040.1,14,149,5,189,PF00025.24,Arf,Domain,12,147,175,133.0,8.2e-39,1,CL0023
Pbia000041.1,142,315,142,319,PF00629.26,MAM,Domain,1,155,161,30.1,3.9e-07,1,CL0004
Pbia000041.1,464,577,430,578,PF00629.26,MAM,Domain,59,160,161,35.9,6.7e-09,1,CL0004
Pbia000041.1,660,899,657,918,PF12810.10,Gly_rich,Family,8,197,241,42.8,6e-11,1,No_clan
Pbia000041.1,1063,1330,1063,1330,PF07714.20,PK_Tyr_Ser-Thr,Domain,1,259,259,302.6,2.1e-90,1,CL0016
